cust_id,company_name,operating_country,operating_location,company_contact,contact_email,contact_ph,sales_contact,port_contact
780,Smith-Phillips,Cuba,Kristinton,Charles Ramos,c.ramos@smithphillips.co.cu,762.486.1475x9367,Stephanie Garcia,Leah Meyer
623,Smith-Evans,Aruba,Tracyside,Amy Roberts,a.roberts@smithevans.co.aw,311-338-9290,Zachary Morgan,William Torres
457,"Dunlap, Randall and Heath",Sweden,Falun,Randy Boyer,r.boyer@dunlaprandallandheath.co.se,08-757 54 66,Karl Johansson,Lennart Nilsson
379,Moss-Wiggins,Belgium,West Mark,Jimmy Walls,j.walls@mosswiggins.co.be,+1-349-817-5539x086,Sandra Chavez,Peter Joyce
32,Reed-Gardner,Tunisia,Robinsonburgh,Sarah Hart,s.hart@reedgardner.co.tn,893-855-2919x52478,Jenna Gibbs,Amy Hernandez
597,Booker-Stevenson,Ukraine,село Дніпрорудне,Susan Wright,s.wright@bookerstevenson.co.ua,+380 97 551-80-91,Лариса Чайка,Олесь Тягнибок
464,Johnson-Young,United States,North Marcus,Zachary Phillips,z.phillips@johnsonyoung.co.com,+1-933-830-4127x945,Lauren Shaffer,Jerry Peterson
395,Estrada-Ewing,Martinique,Lake Marcview,Pamela Shepherd,p.shepherd@estradaewing.co.mq,001-541-338-0635x448,Justin Robbins,Christopher Day
175,"Miller, Richardson and Stephens",Estonia,New Indrekfurt,Danielle Jackson,d.jackson@millerrichardsonandstephens.co.ee,341-851-2321x927,Viktoria Bondarenko,Priit Parts
350,"Miller, Wright and Farmer",Morocco,Port Jayport,Judy Woodard,j.woodard@millerwrightandfarmer.co.ma,7444396486,Joshua James,Ryan Hayes
839,Forbes LLC,Bahamas,Davidfurt,Troy Strickland,t.strickland@forbes.co.bs,(595)924-6432x758,Ashley Woods,Henry Miller
119,Roberts-Morgan,Bulgaria,Гьоковtown,Gregory Rodriguez,g.rodriguez@robertsmorgan.co.bg,0052 888 603,Стеяна Крушовска,Др. Ширко Дзезов
831,Obrien-Sanford,United States,West Jason,Stephen Martin,s.martin@obriensanford.co.com,2053347386,Virginia Welch,Thomas Maldonado
683,Diaz LLC,Georgia,ზუგდიდი,Christina Mclaughlin,c.mclaughlin@diaz.co.ge,+995447068398,გენადი ენუქიძე,მაყვალა კაპანაძე
232,Dillon-Davis,Albania,Wilkinsport,Adam Roth,a.roth@dillondavis.co.al,(428)462-4262x4759,Karen Bridges,Kristin Anderson
55,Paul Inc,Svalbard,Pattersonton,Julia Simon,j.simon@paul.co.sj,818.588.0662,James Smith,Angela Jones
615,"Gould, Solomon and Stone",Dominica,New Michael,Kevin Villarreal,k.villarreal@gouldsolomonandstone.co.dm,804-208-1263,Elizabeth Meyer,Anna Roy
788,Castillo-Robinson,Poland,Bolesławiec,Roger Moore,r.moore@castillorobinson.co.pl,722 843 229,Marek Małocha,pani Janina Reszke
936,Martin-Kelly,Georgia,ნინოწმინდა,Hector Lane,h.lane@martinkelly.co.ge,0 348 512 424,გივი ჩხაიძე,მაია ჯაფარიძე
251,Lang Group,Germany,Plauen,Lisa Williamson,l.williamson@langgroup.co.de,+49(0)6151 42027,Alois Kabus,Norma Haase-Grein Groth
796,"Rodriguez, Fisher and Hernandez",Antigua and Barbuda,Aaronfort,Anthony Cummings,a.cummings@rodriguezfisherandhernandez.co.ag,419-203-9798x549,Grant Ramirez,Jack Adams
405,Brooks-Strickland,Martinique,Lake Paulamouth,James Lang,j.lang@brooksstrickland.co.mq,465-537-5425x4209,Randall Castillo,Angela Holt
592,"Strickland, Walters and Castillo",Ukraine,село Моспине,Jeffery Gay,j.gay@stricklandwaltersandcastillo.co.ua,+380 95 007-39-56,Кирило Симоненко,Стефан Овчаренко
929,Mendez Inc,Dominican Republic,Chambersmouth,Jeffrey Ryan,j.ryan@mendez.co.do,+1-659-932-5039x71245,Karen Bennett,David Carroll
431,"Cox, Smith and Nelson",Saint Vincent and the Grenadines,North Olivia,Brittany Wright,b.wright@coxsmithandnelson.co.vc,001-581-688-4874x71197,Michael Jimenez,Susan Woods
678,Nelson-Griffin,Iceland,Davismouth,John Cole,j.cole@nelsongriffin.co.is,700.226.3274,Ashley Lambert MD,William Smith
309,"Brandt, Sandoval and Gomez",Dominica,Port Carrie,Jamie Smith,j.smith@brandtsandovalandgomez.co.dm,(955)839-7236x2346,Sean Torres,Billy Mercer
418,Ray PLC,Portugal,Serpa,Meghan Wong,m.wong@rayplc.co.pt,(351) 930876662,Nicole-Gabriela Campos,Alexandre Coelho
640,"Drake, Wiley and Arroyo",Denmark,Sommersted,Sherry Cummings,s.cummings@drakewileyandarroyo.co.dk,+45 9695 4844,Rikke Henriksen-Madsen,Tage Poulsen
265,"Young, Crawford and Smith",Croatia,Zlatar,Alicia Peterson,a.peterson@youngcrawfordandsmith.co.hr,034 375 520,Mia Cvitan,Nada Govorčinović
311,Blackburn LLC,United States,Lake Dylanport,Jane Molina,j.molina@blackburn.co.com,(203)815-6197,Brandy Edwards,Timothy Armstrong
835,"Flores, House and Delgado",Finland,Kankaanpää,Brenda Rodriguez,b.rodriguez@floreshouseanddelgado.co.fi,0321843634,Viljami Hämäläinen,Katariina Tuominen
612,Whitney PLC,Italy,Santo Iona,Beverly Myers,b.myers@whitneyplc.co.it,348663303,Raffaella Tomasetti,Sig.ra Michela Ruffini
982,Yoder Ltd,Faroe Islands,South Tylerborough,Kayla Fuller,k.fuller@yoder.co.fo,001-576-688-9990x7379,Fernando Wilson,Matthew Bailey
211,Johnson Group,Martinique,Lloydchester,Charles Black,c.black@johnsongroup.co.mq,001-321-583-9074x4545,Austin Jennings,Stephanie Murphy
30,"Weaver, Hoffman and Sanchez",Lithuania,Port Redaport,Craig Hoover,c.hoover@weaverhoffmanandsanchez.co.lt,+370 89291059,Rugilė Paulauskas,Justina Žukauskas
707,Bell-Cantrell,Guernsey,Lake Ashleytown,Douglas Cooper,d.cooper@bellcantrell.co.gg,+1-944-419-3154x890,Emily Stephens,Thomas Lawrence
807,"Moon, White and Bauer",Grenada,Nathanfort,Steven Sutton,s.sutton@moonwhiteandbauer.co.gd,(314)427-1192x5447,Latoya Cochran,Kenneth Gonzalez
160,Butler Ltd,Germany,Eutin,Julie Jackson,j.jackson@butler.co.de,05045 10571,Krzysztof Holsten,Reimer Henschel-Graf
447,"Harrington, Valencia and Novak",U.S. Virgin Islands,South Rhondaport,Sabrina Green,s.green@harringtonvalenciaandnovak.co.vi,562-324-5004x8088,Miguel Grant,John Sherman
360,Ortega-Aguirre,United States,South Ashleychester,Andrea Hale,a.hale@ortegaaguirre.co.com,(310)783-7904,Jennifer Leach,Alyssa Lopez
932,Perry-Smith,Netherlands,'t Harde,Miranda Marshall,m.marshall@perrysmith.co.nl,+3171 4093696,Loes van Evelingen,Janne Mol
493,Harris-Mejia,Bahamas,Lake Daniel,Joshua Stout,j.stout@harrismejia.co.bs,(507)503-6864x4762,Jeffrey Blanchard,Robert Kennedy
470,"Chambers, Simpson and Chase",Jamaica,East Felicia,John Montgomery,j.montgomery@chamberssimpsonandchase.co.jm,001-896-912-2058,Paul Walsh,Deborah Bennett
601,Joseph Group,Sweden,Varberg,Jessica King,j.king@josephgroup.co.se,+46 (0)11 92 52 54,Karin Håkansson,Eva Mårtensson
448,"Parker, Mitchell and Edwards",Belgium,East Amy,Ethan Sanchez,e.sanchez@parkermitchellandedwards.co.be,+1-363-356-8662x68525,Amy Hale,Edward Erickson
668,"Keller, Potter and Barnes",Morocco,Port Christopher,Robert Ward,r.ward@kellerpotterandbarnes.co.ma,001-414-245-8764,Matthew Howard,Abigail Vega
213,"Thompson, Torres and Gilbert",Bahamas,Obrienborough,Tara Smith,t.smith@thompsontorresandgilbert.co.bs,961-684-8762x18717,Bryan Martin,George Henderson
56,Peterson PLC,Turks and Caicos Islands,North Diana,Robert Phillips,r.phillips@petersonplc.co.tc,513.469.1243,Joseph Vang,Andrea Hansen
172,Blankenship Ltd,Albania,Danafurt,Joseph Noble,j.noble@blankenship.co.al,(320)574-1829x388,Ryan Ayers,Parker White
681,"Keller, Tucker and Weiss",Latvia,New Sandra,Amy Diaz,a.diaz@kellertuckerandweiss.co.lv,+37164661295,Katarīna Āboliņš,Evita Priedīte
456,Taylor Group,Slovenia,Zagorje ob Savi,Theresa Ryan,t.ryan@taylorgroup.co.si,06 0703 982,Franci Mlinar,Peter kuhar
778,"Dixon, Martinez and Bush",Germany,Niesky,Yolanda Castaneda,y.castaneda@dixonmartinezandbush.co.de,(07631) 98635,Bernfried Otto,Hans-Theo Pechel
747,Hill-Bowman,Albania,North Sabrinaville,Courtney Barr,c.barr@hillbowman.co.al,+1-717-743-6960x538,Denise Holland,Logan Gonzalez
129,Watson Inc,Caribbean Netherlands,Port Annamouth,Melinda Baker,m.baker@watson.co.bq,972.463.5091x20492,Brandon Robinson,Susan Anderson
933,Wilson PLC,Svalbard,Spencefort,Mikayla Pace,m.pace@wilsonplc.co.sj,928-693-0078,Ryan Ryan,Jasmine Williams
370,"Bird, Powell and Santana",Ireland,Cailum Ville,Angie Fuller,a.fuller@birdpowellandsantana.co.ie,776.328.7151,Meabh Keenahan,Morgan Neelan
191,Brooks-West,United States,Hartmanfort,Annette Chandler,a.chandler@brookswest.co.com,(968)213-5570x58701,Adam Smith,Stephanie Harper
459,Stone LLC,Denmark,Hedensted,Michelle Pham,m.pham@stone.co.dk,+45 42584128,Prof. Morten Lind,Ronny Holst
200,Munoz Group,Dominica,South Christopherborough,Elizabeth Hutchinson,e.hutchinson@munozgroup.co.dm,+1-724-663-1192x76737,Kenneth Lewis,Janice Parsons
19,Nielsen PLC,Estonia,East Riina,Frederick Hoover,f.hoover@nielsenplc.co.ee,251-868-0895x36017,Andres Pikk,Valentina Lukin
712,Calderon Inc,Slovenia,Brežice,Elizabeth Robinson,e.robinson@calderon.co.si,070 363 377,Bernarda Božič,Silvo Ilić
919,"Patel, Cox and Schmitt",France,Andre,Heather Young,h.young@patelcoxandschmitt.co.fr,05 86 59 76 65,Clémence Dumas Le Godard,Olivier Merle
779,"Schwartz, Williams and Mack",Saint Kitts and Nevis,Hinesborough,Theodore Castro,t.castro@schwartzwilliamsandmack.co.kn,523.577.9635x75930,Morgan Cervantes,Walter Norris
393,Pennington-Robinson,Portugal,Moura,Diamond Andersen,d.andersen@penningtonrobinson.co.pt,+351913985004,Joana Mota-Fernandes,Larissa Cardoso
616,Schmidt Ltd,Puerto Rico,Gonzalezport,Ricky Taylor,r.taylor@schmidt.co.pr,618-750-4067x335,David Garcia,Kevin Conley
602,Wells-Smith,Norway,East Scott,Michele Curry,m.curry@wellssmith.co.no,9016022564,Jessica Taylor,Raven Schneider
787,Todd-Davies,Norway,West Ricky,Jessica Roth,j.roth@todddavies.co.no,(758)238-7133x25168,Tara Nguyen,Taylor Walker
274,Stewart Inc,France,Robin-sur-Martinez,Denise Woods,d.woods@stewart.co.fr,0687118813,Margaux Garcia,Joséphine Leroy
415,Lopez Group,Ukraine,село Рудки,Jeffery Bennett,j.bennett@lopezgroup.co.ua,+380 32 131-64-71,Володимир Ющенко,Демид Швачка
644,"Bowman, Warner and Garcia",Iceland,New Joe,Sara Thornton,s.thornton@bowmanwarnerandgarcia.co.is,426.279.3093,Cody Garcia,Victor Daniels
871,"Shea, Mason and Bailey",Cayman Islands,New Nicholasview,Michelle Huynh,m.huynh@sheamasonandbailey.co.ky,791.960.5625,Beth Willis,Jennifer Rocha
740,"Morgan, Stanley and Simpson",Caribbean Netherlands,Danielstad,Amanda Fox,a.fox@morganstanleyandsimpson.co.bq,638-575-1300x037,Kelsey Gamble,Jason Williams
478,Mckinney Ltd,Antigua and Barbuda,Shannonport,Joshua Jones,j.jones@mckinney.co.ag,789.268.4221,Laurie Smith,Julie Griffin
8,Johnson and Sons,Isle of Man,Maryfurt,William Sims,w.sims@johnsonand.co.im,(844)765-0570x8532,Robert Gonzales,Rodney Brown
785,"Cunningham, Brooks and Rodgers",Dominica,Helenport,Hannah Brady,h.brady@cunninghambrooksandrodgers.co.dm,001-534-760-3389x216,Amanda Vasquez,Kevin Cannon
757,Rodriguez Ltd,Grenada,Smithfort,Angela Foster,a.foster@rodriguez.co.gd,4875033012,Rachel Jackson,Michael Blanchard
821,Smith and Sons,Spain,Álava,Michael Rocha,m.rocha@smithand.co.es,+34 843 656 559,Regina Ferrer Guardiola,Victor Manuel Chico-Arranz
